Brand:,Product name,Processor,Video graphics,Video graphics Memorey,RAM,Hard drive,Display,Display Resolution,Display Refresh Rate,Operating System,Keyboard,Battery,Webcam,Connections,Dimensions,Weight,Colors,Warranty,Price,Processor Generation,Processor Details,Product number,Power supply type,Laptop Color,Finger Print,SUPPORT SSD M2,Pointing device,Optical drive,Series :
HP,Victus 16-r1066ne,Intel® Core™ i5-14450HX,NVIDIA® GeForce RTX™ 3050,6 GB GDDR6,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16.1″diagonal, FHD , 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",1920 x 1080,144 Hz,DOS,"Full-size, backlit, moonstone gray keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",369 x 259.4 x 22.9 mm,2.31 kg,Mica silver,1 Year,39666,14th generation,"up to 4.8 GHz with Intel® Turbo Boost Technology, 20 MB L3 cache, 10 cores, 16 threads",B0VX8EA,,,,,,,
HP,Victus 16-r1062ne,Intel® Core™ i5-14450HX,NVIDIA® GeForce RTX™ 3050,6 GB GDDR6,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16.1″ diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",1920 x 1080),144 Hz,DOS,"Full-size, backlit, performance blue opaque keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",369 x 259.4 x 22.9 mm,2.31 kg,Performance blue,1 Year,39666,14th generation,"up to 4.8 GHz with Intel® Turbo Boost Technology, 20 MB L3 cache, 10 cores, 16 threads",A95G4EA,,,,,,,
HP,Victus 15-fa1103ne,Intel® Core™ i5-13420H,NVIDIA® GeForce RTX™ 3050,6 GB GDDR6,8 GB DDR4-3200 MT/s (1 x 8 GB) Transfer rates up to 3200 MT/s. 1 x 8 GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,"15.6″ FHD (1920 × 1080), IPS, 144 Hz, 9 ms, anti-glare, 250 nits, 45% NTSC",1920 x 1080,144 Hz,DOS,"Full-size, backlit, performance blue keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",357 x 255 x 23.5 mm,2.29 kg,Performance blue,1 Year,33999,13th generation,"up to 4.6 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 8 cores, 12 threads",8Y5V3EA,,,,,,,
HP,VICTUS 15-FA1112NIA,Intel® Core™ i5-13420H,NVIDIA® GeForce RTX™ 3050,6 GB GDDR6,8 GB DDR4-3200 MT/s (1 x 8 GB) Transfer rates up to 3200 MT/s. 1 x 8 GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,"15.6″ FHD (1920×1080), IPS, 144 Hz, 250 nits, 45% NTSC, anti-glare",1920 x 1080,144 Hz,DOS,"Full-size, backlit, mica silver keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",255 × 357 × 23.5 mm,2.29 kg,Mica silver,1 Year,33999,13th generation,"up to 4.6 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 8 cores, 12 threads",8Y605EA,,,,,,,
HP,OMEN Slim 16-an0119nrav,Intel® Core™ Ultra 9 285H,NVIDIA® GeForce RTX™ 5070,8 GB GDDR7,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16"" diagonal WQXGA display",2560 x 1600,240Hz,Windows11 Home,"Full-size, 4-zone RGB backlit, shadow black keyboard with numeric keypad and 26-Key Rollover Anti-Ghosting Key technology","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 10Gbps signaling rate; 2 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo; 1 RJ-45; 1 USB Type-C® 10Gbps signaling rate (USB Power Delivery 3.0, DisplayPort™ 1.4, HP Sleep and Charge)",357 x 268 x 19.8 mm,2.42 kg,Shadow black,1 Year,106999,,"up to 5.4 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 16 cores, 16 threads",BM7B9UA,,,,,,,
HP,OMEN 16-AP0097NR,AMD Ryzen™ AI 9 365,NVIDIA® GeForce RTX™ 5070,8 GB GDDR7,32 GB DDR5-5600 MT/s (2 x 16 GB),1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16"" diagonal, WQXGA , 60-240 Hz, 3 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 500 nits, 100% sRGB",2560 x 1600,240Hz,Windows11 Home,"Full-size, 4-zone RGB backlit, shadow black keyboard with numeric keypad and 26-Key Rollover Anti-Ghosting Key technology","6-cell, 83 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 10Gbps signaling rate; 2 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo; 1 RJ-45; 1 USB Type-C® 10Gbps signaling rate (USB Power Delivery 3.0, DisplayPort™ 1.4, HP Sleep and Charge)[19,42]",357 x 268 x 23.8 mm,2.44kg,Shadow Black,1 Year,104999,,"up to 5.0 GHz max boost clock, 24 MB L3 cache, 10 cores, 20 threads",,,,,,,,
Lenovo,Legion 5 15IRX10,Intel® Core i9-14900HX,NVIDIA® GeForce RTX™ 5070,8GB GDDR7,1x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.1"" WQXGA OLED 1000nits (peak) / 500nits (typical) glossy, 100% DCI-P3, 165Hz, Dolby Vision®, DisplayHDR™ True Black 600",2560x1600,165 HZ,Windows 11 Home,"24-Zone RGB Backlit, English",80Wh,5.0MP with E-shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with USB PD 65-100W and DisplayPort™ 2.1 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz",344.9 x 255.35 x 19.95-21.54 mm,1.9 kg,Eclipse Black,1 Year,107999,14th generation,"24C (8P + 16E) / 32T, P-core 2.2 / 5.8GHz, E-core 1.6 / 4.1GHz, 36MB",83LY0007US,,,,,,,
ASUS,ROG Zephyrus G16 GA605KP-AI327W,AMD Ryzen™ AI 7 350,NVIDIA® GeForce RTX™ 5070 Laptop GPU,8GB GDDR7,32GB LPDDR5X 7500 on board(Actual memory speeds may vary by CPU configuration.),1TB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch 2.5K , WQXGA) 16:10 aspect ratio",2560 x 1600,240Hz,Windows 11 Home,,"90WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x Type-C USB 4 with support for DisplayPort™ / power delivery (data speed up to 40Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / power delivery (data speed up to 10Gbps) 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x card reader (SD,354 x 246 x 14.9 x 16.4 mm,1.85 Kg,Gray,1 year,105200,,"2.0GHz (24MB Cache, up to 5.0GHz, 8 cores, 16 Threads); AMD XDNA™ NPU up to 50TOPS",90NR0NC1-M00240,,,,,,,
Lenovo,Legion Pro 7 16IAX10H,Intel® Core Ultra 9 275HX,NVIDIA® GeForce RTX™ 5080,16GB GDDR7,2x 32GB CSODIMM DDR5-6400,2x 1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,"16"" WQXGA OLED 500nits (Typical) / 1100nits (Peak) Glossy, 100% DCI-P3, 240Hz, DisplayHDR™ True Black 1000, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance, Flicker Free",2560x1600,240 HZ,Windows® 11 Pro,"Per-key RGB Backlit, English",99.9Wh,5.0MP with E-shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-A (USB 10Gbps / USB 3.2 Gen 2), Always On 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with USB PD 65-100W and DisplayPort™ 2.1 1x Thunderbolt™ 4 / USB4® 40Gbps (support data transfer and DisplayPort™ 2.1) 1x HDMI® 2",364.38 x 275.94 x 21.9-26.65 mm,2.57 kg,Eclipse Black,1 Year,205000,,"24C (8P + 16E) / 24T, Max Turbo up to 5.4GHz, 36MB",83F5006HUS,,,,,,,
HP,Victus 16-r1046ne,Intel® Core™ i7-14700HX,NVIDIA® GeForce RTX™ 4050,6 GB GDDR6,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16.1″ diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",1920 x 1080,144 Hz,DOS,"Full-size, backlit, performance blue opaque keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",369 x 259.4 x 22.9 mm,2.33 kg,Performance blue,1 Year,53999,14th generation,"up to 5.5 GHz with Intel® Turbo Boost Technology, 33 MB L3 cache, 20 cores, 28 threads",9X706EA,,,,,,,
ASUS,ROG Strix G16 G614PR-RV161W,AMD Ryzen™ 9 8940HX,NVIDIA® GeForce RTX™ 5070 Ti,12GB GDDR7,16GB DDR5-5200 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) IPS-level anti-glare display sRGB: 100% Refresh Rate: 165Hz Response Time: 3ms G-Sync",1920 x 1200,165 HZ,Windows 11 Home,Backlit Chiclet Keyboard 4-Zone RGB Touchpad,"90WHrs, 4S1P, 4-cell Li-ion",1080p FHD camera,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x Type-C USB 4 with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 40Gbps) 1x Type-C USB 4 with support for DisplayPort™ / G-SYNC (data spee,354 x 264 x 22.6 x 30.4 mm,2.50 Kg,Eclipse Gray,سنه,109300,,"2.4GHz (80MB Cache, up to 5.3GHz, 16 cores, 32 Threads)",,,,,,,,
ASUS,ROG Strix G16 G614FP-GR169W,AMD Ryzen 9 9955HX,NVIDIA® GeForce RTX™ 5070,8GB GDDR7,16GB DDR5-5600 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) 165Hz, 3ms IPS-level 300nits 100% SRGB",1920 x 1200,165 HZ,Windows® 11 Home,Backlit Chiclet Keyboard 4-Zone RGB,"90WHrs, 4S1P, 4-cell Li-ion",1080p FHD camera,1x RJ45 LAN port 1x Type-C USB 4 with support for DisplayPort™ (data speed up to 40Gbps) 1x Type-C USB 4 with support for DisplayPort™ / power delivery (data speed up to 40Gbps) 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps),354 x 264 x 22.6 ~ 30.4 mm,2.50 Kg,Eclipse Gray,1 Year,102000,,"2.5GHz (80MB Cache, up to 5.4GHz, 16 cores, 32 Threads",,,,,,,,
ASUS,TUF Gaming A16 FA608UH-RV007W,AMD Ryzen™ 7 260,NVIDIA® GeForce RTX™ 5050,8GB GDDR7,16GB DDR5-5600 SO-DIMM,512GB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch, FHD+ 16:10 , WUXGA), IPS-level, Anti-glare display, sRGB:100%, Adobe:75.35%, Refresh Rate:165Hz, Response Time:3ms, G-Sync, MUX Switch",1920 x 1200,165 HZ,Windows11 Home,Backlit Chiclet Keyboard 1-Zone RGB Touchpad With Copilot key,"90WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 10Gbps) 1x USB 2.0 Type-A (data speed up to 480Mbps) 1x Type-C US,354 x 269 x 17.9 x 179 mm,2.20 Kg,Grey,1 Year,56199,,"3.8GHz (24MB Cache, up to 5.1 GHz, 8 cores, 16 Threads); AMD XDNA™ NPU up to 16TOPS AMD Ryzen™ 7 H 260 Processor 3.8GHz (24MB Cache, up to 5.1 GHz, 8 cores, 16 Threads); AMD XDNA™ NPU up to 16TOPS",,,,,,,,
ASUS,TUF Gaming A14 FA401KH-RG019W,AMD Ryzen™ AI 7 350,NVIDIA® GeForce RTX™ 5050,8GB GDDR7,"16GB*2 LPDDR5X 7500 on board, Max Capacity",1TB PCIe® 4.0 NVMe™ M.2 SSD,"14-inch, 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio, IPS-level, Anti-glare display",2560 x 1600,165 HZ,Windows 11 Home,,"73WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / G-SYNC (data speed up to 10Gbps) 1x Type-C USB 4 with support for DisplayPort™ / power delivery (data speed,311 x 227 x 16.9 x 19.9 mm,1.46 Kg,Grey,1 Year,66999,,"2.0GHz (24MB Cache, up to 5.0GHz, 8 cores, 16 Threads); AMD XDNA™ NPU up to 50TOPS",,,,,,,,
ASUS,TUF Gaming A14 FA401UU-RG028W,AMD Ryzen 7 8845HS,NVIDIA® GeForce RTX™ 4050 6GB,6GB GDDR6,16GB 8GB*2 LPDDR5X 7500 on board,512GB PCIe® 4.0 NVMe™ M.2 SSD,"14-inch, 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio, IPS-level, Anti-glare display, sRGB:100.00%, Refresh Rate:165Hz, G-Sync, MUX Switch + NVIDIA® Advanced Optimus",2560 x 1600,165 HZ,Windows® 11 Home,Backlit Chiclet Keyboard Single Light,"73WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ (data speed up to 10Gbps) 1x Type-C USB 4 with support for DisplayPort™ / power delivery (data speed up to 40,311 x 227 x 16.9 ~ 19.9 mm,1.46 Kg,Gray,1 Year,48888,,"24MB Cache, up to 5.1 GHz, 8 cores, 16 Threads",,,,,,,,
MSI,Crosshair 18 HX AI A2XWGKG,Intel Core Ultra 9 275HX,Nvidia GeForce RTX 5070 8GB,8GB GDDR7,32GB,1TB SSD,"18” QHD+ (2560x1600), 240Hz, IPS-Level",2560x1600,240 HZ,Windows® 11 Home,24-Zone RGB Gaming Keyboard with Copilot Key,4-Cell 90 Battery (Whr),HD type (30fps@720p) 3D Noise Reduction (3DNR),1x Thunderbolt™ 4 (DisplayPort™/ Power Delivery 3.0) 3x Type-A USB3.2 Gen1 1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz),404 x 280 x 25.6-29.9 mm,3.1 kg,Black,2 Years,94999,,,9S7-184111-025,,,,,,,
